AnimalID,Name,DateTime,OutcomeType,OutcomeSubtype,AnimalType,SexuponOutcome,Breed,Color,age_months,Pure
A679928,Amarillo,2014-07-17 17:22:00,Adoption,,Cat,Neutered Male,domestic shorthair mix,Black,3.0,No
A697715,,2015-02-28 09:00:00,Transfer,SCRP,Cat,Unknown,domestic shorthair mix,Black,24.0,No
A659731,Paloma,2014-05-22 12:05:00,Return_to_owner,,Dog,Spayed Female,cocker spaniel/miniature poodle,Cream,24.0,No
A687344,Sasha,2014-11-29 12:17:00,Adoption,,Dog,Spayed Female,pit bull mix,Brown/White,24.0,No
A693005,Lex,2014-12-01 18:30:00,Return_to_owner,,Dog,Neutered Male,boxer mix,Brown,12.0,No
A690535,Owen,2014-11-30 13:59:00,Transfer,Partner,Cat,Neutered Male,domestic shorthair mix,Brown Tabby/White,2.0,No
A699574,Jupiter,2015-03-31 16:50:00,Return_to_owner,,Dog,Neutered Male,basset hound/english cocker spaniel,Black,24.0,No
A708073,,2015-07-22 14:17:00,Transfer,Partner,Cat,Intact Male,domestic shorthair mix,Blue/White,0.5,No
A690413,Pepper,2015-08-08 18:35:00,Adoption,,Cat,Neutered Male,domestic shorthair mix,Black/White,84.0,No
A677474,Dana,2014-05-06 12:42:00,Return_to_owner,,Dog,Spayed Female,rottweiler mix,Black/Brown,24.0,No
A669837,Chowder,2014-02-10 18:49:00,Adoption,,Cat,Neutered Male,domestic shorthair mix,Blue Tabby/White,24.0,No
A535484,Krunch,2014-12-07 18:38:00,Adoption,,Dog,Neutered Male,pit bull mix,White/Brown,60.0,No
A696319,,2015-02-05 12:04:00,Euthanasia,Suffering,Dog,Neutered Male,australian shepherd mix,Black/Gray,144.0,No
A667407,Jingles,2013-12-15 18:52:00,Adoption,,Cat,Spayed Female,domestic shorthair mix,Blue/White,2.0,No
A716491,Pilgrim,2015-11-28 17:10:00,Adoption,,Dog,Neutered Male,australian cattle dog mix,Tan/Gray,48.0,No
A547088,Chulo,2015-06-21 12:49:00,Adoption,,Dog,Neutered Male,labrador retriever/siberian husky,Brown,72.0,No
A716372,Mio,2016-01-07 12:34:00,Adoption,,Dog,Neutered Male,boxer mix,Red,2.0,No
A676813,Max,2014-04-16 18:37:00,Return_to_owner,,Dog,Neutered Male,labrador retriever mix,Black,24.0,No
A682879,Cammie,2014-07-12 11:43:00,Transfer,Partner,Cat,Intact Female,domestic shorthair mix,Blue Tabby,1.0,No
A703780,Renalda,2015-06-01 19:21:00,Adoption,,Dog,Spayed Female,chihuahua shorthair/dachshund,Black/Tan,12.0,No
A712980,,2015-10-04 15:03:00,Transfer,Partner,Cat,Intact Male,domestic shorthair mix,Black,0.25,No
A669899,Dobby,2014-04-18 12:01:00,Transfer,Partner,Dog,Spayed Female,labrador retriever mix,Red,5.0,No
A703887,Dixie,2015-06-13 14:59:00,Transfer,Partner,Cat,Intact Female,domestic shorthair mix,Tortie,1.0,No
A686705,,2014-08-26 09:00:00,Transfer,SCRP,Cat,Intact Female,domestic longhair mix,Black/White,24.0,No
A675940,,2014-04-02 15:14:00,Transfer,Partner,Cat,Intact Male,domestic shorthair mix,Brown Tabby/White,0.1,No
A681508,,2014-06-28 14:21:00,Transfer,Partner,Dog,Neutered Male,australian cattle dog mix,Red/White,3.0,No
A687069,Gracie,2014-12-11 13:33:00,Adoption,Foster,Dog,Spayed Female,chihuahua shorthair mix,Tan/White,4.0,No
A697812,Emma,2015-03-08 17:25:00,Adoption,,Cat,Spayed Female,domestic shorthair mix,Calico,72.0,No
A696438,Samba,2015-06-22 15:04:00,Return_to_owner,,Dog,Neutered Male,manchester terrier/norfolk terrier,Tricolor,24.0,No
A655516,Oreo,2013-12-08 15:42:00,Transfer,Partner,Dog,Spayed Female,flat coat retriever mix,Black/White,24.0,No
A716316,Oliver,2015-12-12 17:43:00,Adoption,,Cat,Neutered Male,domestic shorthair mix,Black,4.0,No
A678847,Eva,2014-06-16 18:17:00,Adoption,Foster,Dog,Spayed Female,jack russell terrier mix,Chocolate/White,1.0,No
A664749,Andante,2013-11-04 16:39:00,Adoption,,Cat,Neutered Male,domestic shorthair mix,Black,2.0,No
A701041,Munchkin,2015-07-10 17:32:00,Return_to_owner,,Cat,Spayed Female,domestic shorthair mix,Brown Tabby,3.0,No
A689132,Ares,2014-10-14 16:39:00,Adoption,,Cat,Neutered Male,domestic shorthair mix,Orange Tabby,2.0,No
A714280,Kourtney,2015-12-22 10:06:00,Adoption,Foster,Cat,Neutered Male,domestic shorthair mix,Black,3.0,No
A699036,Babyruth,2015-04-07 14:18:00,Adoption,,Dog,Spayed Female,flat coat retriever/golden retriever,Chocolate/Gold,24.0,No
A704944,Shalanda,2016-01-28 14:03:00,Return_to_owner,,Dog,Spayed Female,bichon frise/miniature poodle,White,48.0,No
A718762,Sadie,2016-01-25 14:08:00,Transfer,Partner,Dog,Spayed Female,black mouth cur mix,Brown,9.0,No
A701484,,2015-04-30 17:01:00,Transfer,Partner,Cat,Unknown,domestic shorthair mix,Brown Tabby/White,0.75,No
A688447,,2014-09-28 18:50:00,Transfer,Partner,Dog,Intact Male,pit bull mix,White/Tan,8.0,No
A690025,Ethel,2014-10-17 11:21:00,Transfer,Partner,Cat,Intact Female,domestic shorthair,Blue/White,2.0,Yes
A716774,Frick,2015-11-25 11:49:00,Return_to_owner,,Dog,Neutered Male,pit bull mix,Red/White,36.0,No
A661823,Honeydew,2013-11-17 13:26:00,Adoption,,Dog,Spayed Female,pit bull mix,White,12.0,No
A709817,Cruz,2015-08-16 16:40:00,Adoption,,Dog,Neutered Male,beagle/basset hound,White/Black,12.0,No
A693807,Curry,2014-12-17 18:10:00,Return_to_owner,,Dog,Neutered Male,labrador retriever mix,Brown,5.0,No
A689246,Lori,2014-10-14 14:55:00,Transfer,Partner,Cat,Spayed Female,domestic shorthair mix,Brown Tabby,24.0,No
A704206,,2015-06-02 15:53:00,Transfer,Partner,Cat,Unknown,domestic shorthair mix,Blue/White,0.5,No
A714104,Paisley,2015-10-20 15:49:00,Transfer,Partner,Dog,Intact Female,pit bull mix,Brown,2.0,No
A679538,,2014-05-23 19:15:00,Transfer,SCRP,Cat,Unknown,domestic shorthair mix,Blue,12.0,No
A690734,Chick,2014-11-02 11:30:00,Transfer,Partner,Dog,Spayed Female,bloodhound mix,Tan,48.0,No
A702233,Oreo,2015-05-23 11:59:00,Euthanasia,Suffering,Cat,Intact Male,domestic medium hair mix,Black/White,9.0,No
A682338,Toto,2014-08-02 20:05:00,Adoption,Offsite,Dog,Neutered Male,affenpinscher mix,Black/White,12.0,No
A674317,Carrott,2014-03-12 18:33:00,Return_to_owner,,Cat,Neutered Male,himalayan mix,Seal Point,132.0,No
A708469,Betty,2015-08-01 18:06:00,Adoption,,Dog,Spayed Female,dachshund mix,Black/White,12.0,No
A707305,Wally,2015-07-19 14:44:00,Adoption,,Cat,Intact Male,domestic medium hair mix,Blue,1.0,No
A683893,,2014-07-20 13:40:00,Return_to_owner,,Cat,Spayed Female,domestic longhair mix,Black/White,12.0,No
A716399,Brett,2015-12-23 18:49:00,Adoption,,Cat,Neutered Male,domestic shorthair mix,Blue Tabby/White,2.0,No
A715717,Andy,2015-11-13 18:26:00,Return_to_owner,,Dog,Neutered Male,australian shepherd mix,White/Brown,8.0,No
A717520,Luna,2015-12-09 18:59:00,Return_to_owner,,Dog,Spayed Female,blue lacy mix,Blue,36.0,No
A699512,Cash,2015-08-01 16:22:00,Adoption,,Dog,Neutered Male,great dane/staffordshire,Tan/White,12.0,No
A700337,T-Bone,2015-04-19 17:52:00,Transfer,Partner,Dog,Neutered Male,chihuahua shorthair mix,Blue/White,48.0,No
A713324,Vance,2015-10-12 14:38:00,Transfer,Partner,Dog,Neutered Male,border collie/australian cattle dog,Black/White,24.0,No
A688264,Felina,2015-01-21 16:39:00,Adoption,,Dog,Spayed Female,labrador retriever mix,Black,12.0,No
A678921,Tiddle Bug,2014-05-15 16:37:00,Euthanasia,Suffering,Dog,Neutered Male,yorkshire terrier mix,Black/Tan,144.0,No
A677949,Midnight,2014-05-08 15:22:00,Adoption,,Dog,Spayed Female,chihuahua shorthair mix,Black/White,24.0,No
A664093,Katrina,2013-10-26 11:00:00,Transfer,Partner,Dog,Spayed Female,rottweiler mix,Black/Tan,60.0,No
A719197,Rocky,2016-02-05 17:44:00,Transfer,Partner,Dog,Neutered Male,pit bull mix,Fawn,12.0,No
A690075,,2014-10-14 09:00:00,Transfer,SCRP,Cat,Intact Male,siamese mix,Lilac Point,7.0,No
A664571,,2013-10-10 14:07:00,Adoption,,Cat,Spayed Female,domestic shorthair mix,Torbie,24.0,No
A681170,Janie,2014-09-12 10:04:00,Died,In Foster,Cat,Intact Female,domestic longhair mix,Orange Tabby/White,4.0,No
A698909,Panda,2015-03-29 15:15:00,Return_to_owner,,Dog,Neutered Male,akita mix,White/Brown,48.0,No
A705770,Lucy Fox,2016-02-11 17:25:00,Adoption,Foster,Dog,Spayed Female,chihuahua shorthair mix,Tan,60.0,No
A673756,,2014-03-02 14:44:00,Transfer,Partner,Cat,Intact Male,domestic longhair mix,Orange Tabby,2.0,No
A670209,,2014-01-03 19:19:00,Transfer,Partner,Dog,Intact Male,norwich terrier mix,White,10.0,No
A662762,Lily,2013-10-08 18:15:00,Adoption,,Cat,Spayed Female,snowshoe mix,Calico Point/White,1.0,No
A665310,So,2013-12-01 15:27:00,Adoption,,Cat,Spayed Female,domestic shorthair mix,Tortie,3.0,No
A687266,Coco,2014-09-27 14:51:00,Adoption,,Dog,Spayed Female,chihuahua shorthair mix,Tan/White,12.0,No
A690797,,2014-10-26 12:46:00,Euthanasia,Suffering,Cat,Intact Male,domestic shorthair mix,Brown Tabby/White,144.0,No
A713588,Dyce,2016-02-21 18:27:00,Adoption,,Dog,Neutered Male,american pit bull terrier mix,Black/White,96.0,No
A677179,Lenny,2014-05-01 11:12:00,Return_to_owner,,Dog,Spayed Female,labrador retriever mix,Black/Brown Brindle,36.0,No
A686366,,2014-08-20 18:42:00,Transfer,Partner,Cat,Intact Male,domestic shorthair mix,Blue Tabby/White,0.06666666666666667,No
A672735,Nadia,2014-03-16 13:37:00,Transfer,Partner,Dog,Intact Female,staffordshire mix,White/Gray,12.0,No
A688407,Bently,2014-09-19 11:45:00,Return_to_owner,,Dog,Neutered Male,shih tzu mix,Black/Gray,108.0,No
A701191,Shiloh,2015-04-26 18:55:00,Return_to_owner,,Dog,Neutered Male,dachshund mix,Black/Brown,1.0,No
A685224,Stewie,2014-08-16 14:55:00,Adoption,,Dog,Neutered Male,labrador retriever/boxer,Black,12.0,No
A656434,Andrea,2013-12-19 13:46:00,Adoption,Foster,Cat,Spayed Female,siamese mix,Flame Point,168.0,No
A685335,,2014-08-07 09:00:00,Transfer,SCRP,Cat,Unknown,domestic shorthair mix,Black,3.0,No
A695169,Peaches,2015-06-08 13:08:00,Adoption,,Dog,Spayed Female,australian cattle dog mix,Tan,24.0,No
A704336,,2015-06-04 09:00:00,Transfer,SCRP,Cat,Unknown,domestic shorthair mix,Orange Tabby,12.0,No
A707480,Scooby,2015-07-24 17:55:00,Return_to_owner,,Dog,Neutered Male,dachshund/chihuahua shorthair,Brown,36.0,No
A714777,Princess,2015-10-29 19:18:00,Adoption,,Dog,Spayed Female,chihuahua shorthair mix,Tricolor,5.0,No
A689943,Boo,2014-10-15 17:19:00,Adoption,,Cat,Spayed Female,domestic shorthair mix,Black,2.0,No
A665362,Jezzy,2013-10-25 11:17:00,Transfer,Partner,Cat,Intact Male,domestic shorthair mix,Orange Tabby,2.0,No
A683579,,2014-07-16 17:05:00,Adoption,,Cat,Neutered Male,domestic shorthair mix,White/Orange Tabby,3.0,No
A714555,Noah,2015-10-25 15:00:00,Return_to_owner,,Dog,Intact Male,labrador retriever mix,Black,12.0,No
A675166,,2014-03-24 16:22:00,Euthanasia,Suffering,Cat,Intact Male,domestic shorthair mix,Brown Tabby,36.0,No
A592335,Dex,2015-08-30 16:19:00,Adoption,Offsite,Dog,Neutered Male,norwich terrier mix,Tan,60.0,No
A632333,Charcoal,2013-10-09 18:38:00,Adoption,,Dog,Neutered Male,labrador retriever mix,Blue/White,12.0,No
A669761,Lila,2014-03-23 17:32:00,Transfer,Partner,Dog,Spayed Female,german shepherd mix,Brown/Brown,8.0,No
A666332,,2013-11-09 12:12:00,Adoption,,Cat,Neutered Male,siamese mix,Lynx Point,2.0,No
A714254,,2015-10-20 17:15:00,Transfer,Partner,Cat,Intact Male,domestic shorthair mix,Black,0.25,No
A710029,Leighla,2015-08-22 12:43:00,Adoption,,Dog,Spayed Female,labrador retriever/pit bull,Brown/White,2.0,No
A703985,Simba,2015-07-25 13:01:00,Transfer,Partner,Dog,Neutered Male,american bulldog mix,Tan/White,36.0,No
A719584,Chuck,2016-01-27 13:50:00,Transfer,Partner,Dog,Intact Male,miniature poodle mix,White,36.0,No
A703519,,2015-05-26 13:52:00,Transfer,Partner,Cat,Unknown,domestic shorthair mix,Black/White,0.75,No
A688621,Magic Hat,2014-10-12 17:45:00,Adoption,,Cat,Neutered Male,domestic shorthair mix,Blue,36.0,No
A705299,Dexter,2015-11-26 09:33:00,Euthanasia,Aggressive,Dog,Neutered Male,pit bull mix,Blue/White,24.0,No
A701161,Annabelle,2015-08-19 16:33:00,Euthanasia,Suffering,Cat,Spayed Female,domestic shorthair mix,Brown Tabby,156.0,No
A701436,,2015-05-03 12:36:00,Transfer,Partner,Dog,Intact Male,chihuahua shorthair mix,Brown Brindle/White,1.0,No
A694626,Nikki,2015-01-15 18:27:00,Adoption,,Dog,Neutered Male,australian shepherd mix,White/Cream,2.0,No
A699142,Sierra,2015-05-04 16:50:00,Adoption,Foster,Cat,Spayed Female,domestic shorthair mix,Blue Tabby/White,2.0,No
A714564,Rocky,2015-12-26 16:57:00,Adoption,,Dog,Neutered Male,plott hound mix,Brown Brindle,12.0,No
A681909,Cooper,2014-06-26 19:06:00,Adoption,,Dog,Neutered Male,collie smooth/german shepherd,Brown/White,10.0,No
A704100,,2015-06-01 17:26:00,Transfer,Partner,Dog,Intact Female,pit bull mix,White,0.25,No
A678914,Seven,2014-07-09 18:22:00,Adoption,Foster,Dog,Spayed Female,labrador retriever/australian shepherd,Black/White,1.0,No
A715333,Princess,2015-11-12 19:20:00,Return_to_owner,,Dog,Spayed Female,chihuahua shorthair mix,White/Tan,24.0,No
A688752,,2014-09-23 13:22:00,Transfer,Partner,Cat,Intact Female,domestic longhair mix,Calico,0.75,No
A689438,Otto,2014-12-08 13:48:00,Adoption,,Dog,Neutered Male,american pit bull terrier mix,Brown Brindle/White,24.0,No
A717994,Wilma,2016-01-05 00:00:00,Transfer,Partner,Dog,Spayed Female,pit bull mix,White/Brown Brindle,12.0,No
A693840,Angel,2015-11-25 07:34:00,Adoption,Foster,Dog,Spayed Female,pit bull mix,Fawn/White,12.0,No
A707601,Willie,2015-08-09 13:30:00,Adoption,,Dog,Neutered Male,chihuahua shorthair mix,White/Brown,12.0,No
A665939,Pat,2013-11-04 14:05:00,Transfer,Partner,Cat,Spayed Female,domestic medium hair mix,Black,12.0,No
A695186,,2015-01-10 18:37:00,Transfer,Partner,Dog,Intact Male,pit bull mix,White/Brown,6.0,No
A699904,,2015-04-15 18:16:00,Transfer,Partner,Cat,Intact Female,domestic shorthair mix,Blue Tabby,0.25,No
A689605,Bea,2014-11-04 08:22:00,Adoption,Foster,Cat,Spayed Female,domestic shorthair mix,Torbie,4.0,No
A716851,,2015-12-02 11:14:00,Euthanasia,Suffering,Cat,Intact Male,domestic shorthair mix,Black,2.0,No
A714141,Heidi,2016-01-21 13:12:00,Adoption,Foster,Dog,Spayed Female,german shepherd mix,Brown/Black,96.0,No
A691290,Pumba,2014-11-04 17:54:00,Return_to_owner,,Dog,Neutered Male,manchester terrier/jack russell terrier,Brown/White,2.0,No
A666890,,2013-11-13 17:36:00,Adoption,,Cat,Spayed Female,domestic shorthair mix,Blue Tabby,2.0,No
A688629,,2014-09-21 15:25:00,Transfer,Partner,Cat,Intact Male,domestic shorthair mix,Orange Tabby,0.5,No
A706310,Zora,2015-06-27 13:37:00,Euthanasia,Suffering,Cat,Intact Female,domestic shorthair mix,Black/White,192.0,No
A712209,,2015-09-23 18:40:00,Adoption,,Dog,Neutered Male,dachshund mix,Brown,12.0,No
A691600,Gabi,2015-03-15 15:32:00,Adoption,,Dog,Spayed Female,greyhound mix,Brown Brindle,24.0,No
A690298,Ondeado,2014-10-23 17:35:00,Return_to_owner,,Dog,Neutered Male,pit bull/boston terrier,Black/White,12.0,No
A705843,,2015-06-25 10:13:00,Euthanasia,Suffering,Dog,Intact Female,whippet mix,White/Tan,3.0,No
A667318,,2013-11-25 12:27:00,Adoption,,Dog,Spayed Female,border collie/labrador retriever,Brown/White,2.0,No
A658843,Rudy,2015-06-08 11:59:00,Adoption,,Dog,Neutered Male,pit bull mix,Brown/White,36.0,No
A693123,Leila,2014-12-15 17:03:00,Adoption,,Dog,Spayed Female,pit bull mix,Tricolor,24.0,No
A678710,Ricky,2014-08-12 08:26:00,Adoption,Foster,Cat,Neutered Male,domestic shorthair mix,Orange Tabby/White,4.0,No
A693202,Trevor,2014-12-20 14:38:00,Adoption,,Dog,Neutered Male,carolina dog mix,Brown Brindle/White,12.0,No
A713758,Lola,2015-10-21 13:37:00,Transfer,Partner,Cat,Spayed Female,domestic shorthair mix,Black/White,24.0,No
A717711,,2015-12-19 15:58:00,Adoption,,Dog,Spayed Female,pit bull mix,Fawn/White,6.0,No
A670573,Traveler,2014-01-12 17:10:00,Adoption,,Cat,Spayed Female,domestic shorthair mix,Brown Tabby/White,2.0,No
A662741,Todd,2013-10-05 12:42:00,Transfer,Partner,Cat,Intact Male,domestic shorthair mix,Black,1.0,No
A682296,,2014-07-05 09:00:00,Transfer,SCRP,Cat,Neutered Male,domestic shorthair mix,Orange Tabby/White,12.0,No
A688701,Patches,2014-09-28 12:32:00,Adoption,,Cat,Neutered Male,domestic shorthair mix,White/Blue,2.0,No
A720168,Rocky,2016-02-03 18:45:00,Return_to_owner,,Dog,Neutered Male,chihuahua shorthair mix,Black/Tan,36.0,No
A680658,Oreo,2014-06-09 17:58:00,Adoption,,Dog,Spayed Female,labrador retriever mix,Black/White,2.0,No
A699916,,2015-04-08 14:44:00,Transfer,Partner,Cat,Spayed Female,ragdoll mix,Calico Point,24.0,No
A700144,Nadia,2015-08-10 15:18:00,Adoption,,Cat,Spayed Female,domestic shorthair mix,Black,12.0,No
A672462,George,2014-02-26 16:48:00,Transfer,Partner,Cat,Neutered Male,domestic shorthair mix,Black,24.0,No
A687791,Millie,2014-09-17 15:45:00,Transfer,Partner,Dog,Intact Female,dachshund,Brown Brindle/White,12.0,Yes
A718103,Paolo,2016-01-02 18:11:00,Adoption,,Cat,Neutered Male,domestic shorthair mix,Orange Tabby,6.0,No
A701781,,2015-06-09 19:10:00,Adoption,,Cat,Neutered Male,domestic shorthair mix,Black,2.0,No
A711349,Javier,2015-10-16 16:00:00,Adoption,Foster,Cat,Neutered Male,domestic shorthair mix,Black,2.0,No
A712850,Phillis,2015-10-04 17:13:00,Adoption,,Dog,Spayed Female,labrador retriever mix,Black/White,2.0,No
A681201,,2014-06-19 11:45:00,Adoption,,Dog,Neutered Male,australian cattle dog/labrador retriever,Black/White,2.0,No
A701666,Zeppelin,2015-05-19 16:34:00,Transfer,Partner,Dog,Intact Male,greyhound,Black/White,48.0,Yes
A703612,,2015-06-30 19:10:00,Adoption,,Cat,Spayed Female,domestic medium hair mix,Brown Tabby,1.0,No
A652259,Beemo,2014-01-18 11:58:00,Transfer,Partner,Dog,Neutered Male,siberian husky,Cream/White,12.0,Yes
A686008,Filbert,2014-08-19 17:47:00,Adoption,,Dog,Neutered Male,boykin span mix,Liver/White,12.0,No
A693663,,2014-12-16 12:01:00,Adoption,,Dog,Spayed Female,chihuahua shorthair mix,Black/Brown,24.0,No
A665428,,2013-10-20 13:37:00,Transfer,SCRP,Cat,Intact Male,domestic shorthair mix,Black,12.0,No
A701038,May,2015-06-28 13:40:00,Adoption,Foster,Cat,Spayed Female,domestic shorthair mix,Brown Tabby,2.0,No
A700745,,2015-04-20 14:20:00,Transfer,Partner,Cat,Intact Female,domestic shorthair mix,Brown Tabby,0.75,No
A685207,,2014-08-05 09:00:00,Transfer,SCRP,Cat,Intact Male,domestic shorthair mix,Orange Tabby/White,3.0,No
A716317,Neba,2015-12-15 18:04:00,Return_to_owner,,Dog,Spayed Female,bernese mountain dog mix,Tricolor,84.0,No
A712669,,2015-09-27 09:00:00,Transfer,SCRP,Cat,Intact Male,domestic shorthair mix,Cream Tabby,36.0,No
A720644,Magenta,2016-02-16 13:06:00,Transfer,Partner,Cat,Intact Female,domestic shorthair mix,Blue,24.0,No
A693532,,2014-12-12 19:04:00,Adoption,,Dog,Spayed Female,german shepherd mix,Black/Brown,1.0,No
A697168,,2015-02-28 14:56:00,Transfer,Partner,Dog,Neutered Male,pit bull mix,Black/White,60.0,No
A676892,Charlie,2014-04-26 14:15:00,Adoption,,Dog,Neutered Male,labrador retriever/australian cattle dog,Black,10.0,No
A681269,Arthur,2014-06-18 12:32:00,Transfer,Partner,Dog,Intact Male,australian shepherd mix,Brown Brindle,2.0,No
A678662,,2014-05-11 15:01:00,Transfer,Partner,Cat,Intact Male,domestic shorthair mix,Black/White,0.5,No
A669474,Taz,2013-12-22 13:03:00,Return_to_owner,,Dog,Neutered Male,pembroke welsh corgi mix,Yellow/White,60.0,No
A705479,Kona,2015-06-21 18:20:00,Adoption,,Dog,Spayed Female,labrador retriever mix,Brown/White,2.0,No
A673387,Alex,2014-03-02 16:43:00,Adoption,,Cat,Neutered Male,domestic shorthair mix,Brown Tabby/White,5.0,No
A668471,Frenchy,2015-03-03 16:43:00,Transfer,Partner,Cat,Neutered Male,domestic shorthair mix,Cream Tabby,12.0,No
A676686,Rado,2014-12-07 17:53:00,Adoption,,Dog,Neutered Male,great dane/pit bull,Blue,24.0,No
A701651,Paul,2015-05-06 17:00:00,Adoption,,Dog,Neutered Male,chihuahua shorthair/boxer,Brown,2.0,No
A695787,Chico,2015-01-23 14:36:00,Return_to_owner,,Dog,Neutered Male,chihuahua shorthair mix,Brown,36.0,No
A713149,Mirinda,2015-10-12 19:25:00,Adoption,,Dog,Spayed Female,boxer mix,Brown Brindle/White,12.0,No
A703316,Shadow,2015-05-26 16:56:00,Return_to_owner,,Dog,Spayed Female,german shepherd mix,Sable,24.0,No
A698676,,2015-03-24 14:30:00,Transfer,Partner,Dog,Spayed Female,yorkshire terrier mix,Tan/Silver,48.0,No
A702952,,2015-05-25 14:29:00,Adoption,,Dog,Neutered Male,labrador retriever mix,Black,2.0,No
A668526,Hansel,2014-02-01 14:56:00,Adoption,Foster,Dog,Neutered Male,chihuahua shorthair mix,White/Cream,2.0,No
A668509,Tomatillo,2014-02-13 17:30:00,Adoption,,Dog,Neutered Male,chihuahua shorthair/miniature pinscher,Blue/White,12.0,No
A702208,,2015-05-10 19:31:00,Transfer,Partner,Cat,Unknown,domestic shorthair mix,Black,0.5,No
A683192,Blondie,2014-07-18 14:27:00,Transfer,Partner,Dog,Intact Female,german shepherd mix,White,2.0,No
A702316,Riley,2015-05-14 18:48:00,Adoption,,Dog,Neutered Male,papillon/chihuahua shorthair,Tan/White,72.0,No
A684215,,2014-07-23 14:39:00,Transfer,Partner,Cat,Intact Female,domestic medium hair,Tortie/White,1.25,Yes
A715195,Skittles,2015-11-01 18:28:00,Return_to_owner,,Cat,Neutered Male,domestic shorthair mix,Blue,8.0,No
A680400,Saul,2014-06-23 13:38:00,Transfer,Partner,Cat,Intact Male,domestic shorthair mix,Blue/White,1.0,No
A716703,,2015-11-24 12:22:00,Transfer,Partner,Cat,Intact Female,domestic shorthair mix,Black/White,4.0,No
A665084,,2013-10-14 16:05:00,Transfer,SCRP,Cat,Intact Female,domestic shorthair mix,Tortie,7.0,No
A682641,Lilly,2014-07-04 17:24:00,Adoption,,Cat,Spayed Female,snowshoe mix,Seal Point/White,2.0,No
A716811,Pachonsito,2015-11-27 18:46:00,Return_to_owner,,Dog,Neutered Male,shih tzu mix,Brown,36.0,No
A692255,Kallie,2014-11-28 19:07:00,Return_to_owner,,Cat,Neutered Male,domestic longhair mix,Orange Tabby/White,24.0,No
A702420,Brinkley,2015-07-08 14:07:00,Adoption,,Cat,Neutered Male,domestic shorthair mix,Orange Tabby/White,2.0,No
A692963,,2014-11-29 14:55:00,Transfer,Partner,Dog,Intact Female,chihuahua shorthair mix,White/Tan,2.0,No
A689374,Kelly,2014-11-26 16:05:00,Adoption,,Cat,Neutered Male,domestic shorthair mix,Brown Tabby/White,2.0,No
A698370,,2015-03-16 13:09:00,Transfer,Partner,Cat,Neutered Male,domestic medium hair mix,Brown Tabby/White,12.0,No
A680319,,2014-06-01 08:00:00,Transfer,SCRP,Cat,Intact Male,domestic shorthair mix,Brown Tabby/White,24.0,No
A700447,Bentley,2015-04-18 18:25:00,Transfer,Partner,Dog,Neutered Male,dachshund longhair/chihuahua shorthair,Blue/Tan,24.0,No
A696127,Charlie,2015-02-07 14:36:00,Return_to_owner,,Dog,Neutered Male,pit bull mix,Tan,24.0,No
A702466,Direwolf,2015-05-31 16:01:00,Adoption,,Dog,Neutered Male,german shepherd/labrador retriever,White,3.0,No
A683721,,2014-07-18 16:30:00,Transfer,Partner,Cat,Intact Female,domestic shorthair mix,Brown Tabby,0.5,No
A708175,Kiki,2015-08-23 00:00:00,Adoption,,Cat,Spayed Female,domestic shorthair mix,White/Black,1.0,No
A713434,Flynn,2015-10-13 14:35:00,Transfer,Partner,Cat,Neutered Male,domestic shorthair mix,Orange Tabby,3.0,No
A669132,Oso,2013-12-15 15:22:00,Return_to_owner,,Dog,Intact Male,rottweiler mix,Black/Tan,9.0,No
A680656,,2014-06-05 13:38:00,Transfer,Partner,Cat,Intact Female,domestic shorthair mix,Black/White,0.5,No
A719429,Wilbur,2016-02-04 18:17:00,Transfer,Partner,Cat,Neutered Male,domestic longhair mix,Blue,72.0,No
A685070,,2014-08-06 14:44:00,Transfer,Partner,Dog,Spayed Female,german shepherd mix,Black/Brown,144.0,No
A717450,Blue Lover,2015-12-28 14:32:00,Transfer,Partner,Cat,Spayed Female,domestic medium hair mix,Blue,9.0,No
A662781,John,2013-10-09 13:00:00,Transfer,Partner,Cat,Neutered Male,domestic shorthair mix,Brown Tabby,4.0,No
A680041,,2014-06-02 12:29:00,Euthanasia,Suffering,Dog,Intact Female,chihuahua shorthair mix,Black/White,144.0,No
A694711,Theodore,2015-01-08 17:34:00,Adoption,,Dog,Neutered Male,bernese mountain dog,Black/Brown,8.0,Yes
A692336,Elvira,2015-07-30 13:51:00,Adoption,,Dog,Spayed Female,pit bull mix,Brown Brindle/White,12.0,No
A704729,,2015-06-08 13:36:00,Euthanasia,Suffering,Cat,Unknown,domestic shorthair mix,Brown Tabby/White,0.5,No
A669925,Tugga,2013-12-30 14:51:00,Euthanasia,Suffering,Cat,Neutered Male,domestic shorthair mix,Orange Tabby,24.0,No
A688973,Captain,2014-10-05 17:52:00,Adoption,,Dog,Neutered Male,chesa bay retr mix,Brown,12.0,No
A690456,Bonnie,2014-10-24 15:26:00,Euthanasia,Aggressive,Dog,Intact Female,chow chow mix,Red/White,48.0,No
A689862,Little Foot,2014-10-18 17:25:00,Adoption,,Dog,Neutered Male,yorkshire terrier mix,Tan,12.0,No
A680820,,2014-06-14 17:02:00,Adoption,,Cat,Neutered Male,domestic medium hair mix,Cream Tabby,2.0,No
A427866,Gus,2014-05-15 12:03:00,Euthanasia,Suffering,Dog,Neutered Male,german shepherd mix,Black/Tan,96.0,No
A677703,,2014-04-28 10:37:00,Transfer,Partner,Cat,Intact Male,domestic shorthair mix,Blue Tabby,0.25,No
